# redshift      Ob
1.999999977133186135e+01 1.577343176620474019e-01
1.999224269581418767e+01 1.577342743470243891e-01
1.998449280213288404e+01 1.577342310081465138e-01
1.997674969059682226e+01 1.577341876432335199e-01
1.996901390627810358e+01 1.577341442553948925e-01
1.996128536774853757e+01 1.577341008442367798e-01
1.995356355169399620e+01 1.577340574068754331e-01
1.994584923627080997e+01 1.577340139477469982e-01
1.993814188835604995e+01 1.577339704639104667e-01
1.993044159589775433e+01 1.577339269559189794e-01
1.992274846040470848e+01 1.577338834244055854e-01
1.991506235384015611e+01 1.577338398687052334e-01
1.990738303781170870e+01 1.577337962875220712e-01
1.989971113884454823e+01 1.577337526844718729e-01
1.989204607565639193e+01 1.577337090563118716e-01
1.988438820803218476e+01 1.577336654051483544e-01
1.987673712304344775e+01 1.577336217286854636e-01
1.986909305760058331e+01 1.577335780283316558e-01
1.986145606383568563e+01 1.577335343044447558e-01
1.985382616744862005e+01 1.577334905572328749e-01
1.984620310332453386e+01 1.577334467852343491e-01
1.983858726287470020e+01 1.577334029907566382e-01
1.983097802704810064e+01 1.577333591702973770e-01
1.982337572006205306e+01 1.577333153257775844e-01
1.981578057268150417e+01 1.577332714585893692e-01
1.980819219410399157e+01 1.577332275665348782e-01
1.980061075916412960e+01 1.577331836506822293e-01
1.979303647613123118e+01 1.577331397122997414e-01
1.978546852943753720e+01 1.577330957467109052e-01
1.977790805662796458e+01 1.577330517605827764e-01
1.977035422962567068e+01 1.577330077491607696e-01
1.976280718180352025e+01 1.577329637132761919e-01
1.975526686161540368e+01 1.577329196526838229e-01
1.974773371113857579e+01 1.577328755700276308e-01
1.974020723469837080e+01 1.577328314624674432e-01
1.973268750492420764e+01 1.577327873304839034e-01
1.972517469137745749e+01 1.577327431751305575e-01
1.971766852715106211e+01 1.577326989948961700e-01
1.971016941056944560e+01 1.577326547921845123e-01
1.970267694588555329e+01 1.577326105647225696e-01
1.969519111519852927e+01 1.577325663124590216e-01
1.968771227342263686e+01 1.577325220375510040e-01
1.968024021330064244e+01 1.577324777388327826e-01
1.967277463631981149e+01 1.577324334145893958e-01
1.966531595029529100e+01 1.577323890672985840e-01
1.965786401927817550e+01 1.577323446962123066e-01
1.965041857283071991e+01 1.577323002997754464e-01
1.964298003081997379e+01 1.577322558805489827e-01
1.963554812389709525e+01 1.577322114369839878e-01
1.962812310767032642e+01 1.577321669706685803e-01
1.962070435865008378e+01 1.577321224779238140e-01
1.961329266146509198e+01 1.577320779635128234e-01
1.960588739722244611e+01 1.577320334237780342e-01
1.959848894176964862e+01 1.577319888610368981e-01
1.959109698041480740e+01 1.577319442734516908e-01
1.958371178321781514e+01 1.577318996627087022e-01
1.957633307922780119e+01 1.577318550272288344e-01
1.956896097137223478e+01 1.577318103676903505e-01
1.956159534526424792e+01 1.577317656834559823e-01
1.955423666757137724e+01 1.577317209774173890e-01
1.954688442760786415e+01 1.577316762465320321e-01
