# redshift      Om
1.999999977133186135e+01 9.997523766638327647e-01
1.999224269581418767e+01 9.997521021243550576e-01
1.998449280213288404e+01 9.997518274336802957e-01
1.997674969059682226e+01 9.997515525779896439e-01
1.996901390627810358e+01 9.997512775769912263e-01
1.996128536774853757e+01 9.997510024281898167e-01
1.995356355169399620e+01 9.997507271133064810e-01
1.994584923627080997e+01 9.997504516604590608e-01
1.993814188835604995e+01 9.997501760510065782e-01
1.993044159589775433e+01 9.997499002884552288e-01
1.992274846040470848e+01 9.997496243768171365e-01
1.991506235384015611e+01 9.997493483118770063e-01
1.990738303781170870e+01 9.997490720854217416e-01
1.989971113884454823e+01 9.997487957203686770e-01
1.989204607565639193e+01 9.997485191961645867e-01
1.988438820803218476e+01 9.997482425261594585e-01
1.987673712304344775e+01 9.997479656958018213e-01
1.986909305760058331e+01 9.997476887140185342e-01
1.986145606383568563e+01 9.997474115830778940e-01
1.985382616744862005e+01 9.997471343042986236e-01
1.984620310332453386e+01 9.997468568684165779e-01
1.983858726287470020e+01 9.997465792900567250e-01
1.983097802704810064e+01 9.997463015470204883e-01
1.982337572006205306e+01 9.997460236514839060e-01
1.981578057268150417e+01 9.997457456122700314e-01
1.980819219410399157e+01 9.997454674154484522e-01
1.980061075916412960e+01 9.997451890677896413e-01
1.979303647613123118e+01 9.997449105773320577e-01
1.978546852943753720e+01 9.997446319144348559e-01
1.977790805662796458e+01 9.997443531213555667e-01
1.977035422962567068e+01 9.997440741679584075e-01
1.976280718180352025e+01 9.997437950595123857e-01
1.975526686161540368e+01 9.997435157944635220e-01
1.974773371113857579e+01 9.997432363895698559e-01
1.974020723469837080e+01 9.997429568268290101e-01
1.973268750492420764e+01 9.997426771092883246e-01
1.972517469137745749e+01 9.997423972436250139e-01
1.971766852715106211e+01 9.997421172202604067e-01
1.971016941056944560e+01 9.997418370544305377e-01
1.970267694588555329e+01 9.997415567317280427e-01
1.969519111519852927e+01 9.997412762518279594e-01
1.968771227342263686e+01 9.997409956284025734e-01
1.968024021330064244e+01 9.997407148540633504e-01
1.967277463631981149e+01 9.997404339179403188e-01
1.966531595029529100e+01 9.997401528357379163e-01
1.965786401927817550e+01 9.997398716027151577e-01
1.965041857283071991e+01 9.997395902090150388e-01
1.964298003081997379e+01 9.997393086708699084e-01
1.963554812389709525e+01 9.997390269784621752e-01
1.962812310767032642e+01 9.997387451418575655e-01
1.962070435865008378e+01 9.997384631377386199e-01
1.961329266146509198e+01 9.997381809962941901e-01
1.960588739722244611e+01 9.997378986943425971e-01
1.959848894176964862e+01 9.997376162465719807e-01
1.959109698041480740e+01 9.997373336413346578e-01
1.958371178321781514e+01 9.997370508893184127e-01
1.957633307922780119e+01 9.997367679805150287e-01
1.956896097137223478e+01 9.997364849192232894e-01
1.956159534526424792e+01 9.997362017014037594e-01
1.955423666757137724e+01 9.997359183453845555e-01
1.954688442760786415e+01 9.997356348318813257e-01
1.953953860566760170e+01 9.997353511604737397e-01
1.953219956835080140e+01 9.997350673456868453e-01
1.952486670037765037e+01 9.997347833640758408e-01
1.951754067934469816e+01 9.997344992422384502e-01
1.951022128171732106e+01 9.997342149719005144e-01
1.950290826237046460e+01 9.997339305438988077e-01
1.949560162367200888e+01 9.997336459586649848e-01
1.948830182399044730e+01 9.997333612344295739e-01
1.948100820179372050e+01 9.997330763457525915e-01
1.947372108493767939e+01 9.997327913057770798e-01
1.946644054136136504e+01 9.997325061175303951e-01
1.945916646465140687e+01 9.997322207772131319e-01
1.945189907250022188e+01 9.997319352937447112e-01
1.944463783069544149e+01 9.997316496464931923e-01
1.943738302422358544e+01 9.997313638470053387e-01
1.943013467411659789e+01 9.997310778964704214e-01
1.942289271883216628e+01 9.997307917928212051e-01
1.941565754373026920e+01 9.997305055516692018e-01
1.940842836396178939e+01 9.997302191423204087e-01
1.940120567617740122e+01 9.997299325847844864e-01
1.939398937913661669e+01 9.997296458754124648e-01
1.938677962895971163e+01 9.997293590207804170e-01
1.937957607374575630e+01 9.997290720072462555e-01
1.937237890046525379e+01 9.997287848426047452e-01
1.936518823560960811e+01 9.997284975322774381e-01
1.935800350144701554e+01 9.997282100535166416e-01
1.935082550220755948e+01 9.997279224388591068e-01
1.934365361629739510e+01 9.997276346637726796e-01
1.933648831496868326e+01 9.997273467475289443e-01
1.932932896876678441e+01 9.997270586651861857e-01
1.932217605094738744e+01 9.997267704361256779e-01
1.931502944353763596e+01 9.997264820559644827e-01
1.930788893871991974e+01 9.997261935166599223e-01
1.930075496925528000e+01 9.997259048360644940e-01
1.929362721417451354e+01 9.997256160015641768e-01
1.928650564418475355e+01 9.997253270123190871e-01
1.927939037712980763e+01 9.997250378734664489e-01
1.927228130188240485e+01 9.997247485808479217e-01
1.926517853027240079e+01 9.997244591393729118e-01
1.925808171121516210e+01 9.997241695350740365e-01
1.925099141489943833e+01 9.997238797915786179e-01
1.924390706397054629e+01 9.997235898856539071e-01
1.923682908812436310e+01 9.997232998352330036e-01
1.922975719779785209e+01 9.997230096288109991e-01
1.922269168869797440e+01 9.997227192788881167e-01
1.921563225860976232e+01 9.997224287734091108e-01
1.920857863260826548e+01 9.997221381013770003e-01
1.920153159211410809e+01 9.997218472953550705e-01
1.919449060775029636e+01 9.997215563338816002e-01
1.918745557092826459e+01 9.997212652128002475e-01
1.918042681970390007e+01 9.997209739464518741e-01
1.917340413956393874e+01 9.997206825263112995e-01
1.916638751080519398e+01 9.997203909519052356e-01
1.915937703568419437e+01 9.997200992278361120e-01
1.915237244923733329e+01 9.997198073434184762e-01
1.914537428305960987e+01 9.997195153211693164e-01
1.913838187135796076e+01 9.997192231336600177e-01
1.913139582497285573e+01 9.997189308067663260e-01
1.912441552272091982e+01 9.997186383148466415e-01
1.911744159363530571e+01 9.997183456846125971e-01
1.911047329731025357e+01 9.997180528853405468e-01
1.910351149878385968e+01 9.997177599537354631e-01
1.909655539757515541e+01 9.997174668564795530e-01
1.908960536800556795e+01 9.997171736096727157e-01
1.908266149375280207e+01 9.997168802172148316e-01
1.907572349041635462e+01 9.997165866674428969e-01
1.906879150614386020e+01 9.997162929669665132e-01
1.906186543320302818e+01 9.997159991115687205e-01
1.905494556271133533e+01 9.997157051139653472e-01
1.904803134471271875e+01 9.997154109511341424e-01
1.904112332323513002e+01 9.997151166465639838e-01
1.903422101047801362e+01 9.997148221798232148e-01
1.902732483468071933e+01 9.997145275695271671e-01
1.902043446526646164e+01 9.997142328019089641e-01
1.901354998136179830e+01 9.997139378806888521e-01
1.900667174725057151e+01 9.997136428218472703e-01
1.899979900550432532e+01 9.997133475932344915e-01
1.899293245111995176e+01 9.997130522250423645e-01
1.898607170505752606e+01 9.997127567013338600e-01
1.897921665384301804e+01 9.997124610175449622e-01
1.897236763333788545e+01 9.997121651885076954e-01
1.896552440984852339e+01 9.997118692044845156e-01
1.895868716199957404e+01 9.997115730735527395e-01
1.895185581588598112e+01 9.997112767928745258e-01
1.894503036260119089e+01 9.997109803624202318e-01
1.893821030200882660e+01 9.997106837607808716e-01
1.893139636051450481e+01 9.997103870198814635e-01
1.892458816080359441e+01 9.997100901236566362e-01
1.891778586050059729e+01 9.997097930793280574e-01
1.891098939068047358e+01 9.997094958842421830e-01
1.890419880413858422e+01 9.997091985410655468e-01
1.889741371853525109e+01 9.997089010333841674e-01
1.889063451145757000e+01 9.997086033780837599e-01
1.888386115439114832e+01 9.997083055742743696e-01
1.887709348085124361e+01 9.997080076149817973e-01
1.887033174600029994e+01 9.997077095117946621e-01
1.886357541754415834e+01 9.997074112415770264e-01
1.885682514003360666e+01 9.997071128331265211e-01
1.885008056640273466e+01 9.997068142714703454e-01
1.884334132972751519e+01 9.997065155406738013e-01
1.883660834747047730e+01 9.997062166817630713e-01
1.882988067170855473e+01 9.997059176530197488e-01
1.882315909240730534e+01 9.997056184898992504e-01
1.881644288136088861e+01 9.997053191603412214e-01
1.880973248919611507e+01 9.997050196847556691e-01
1.880302756459064639e+01 9.997047200478007545e-01
1.879632861410598110e+01 9.997044202724660877e-01
1.878963500879818938e+01 9.997041203309490198e-01
1.878294741976838722e+01 9.997038202536685514e-01
1.877626520796224341e+01 9.997035200123018939e-01
1.876958873495069469e+01 9.997032196234217905e-01
1.876291787179428283e+01 9.997029190815771571e-01
1.875625260105553238e+01 9.997026183863195747e-01
1.874959322075471846e+01 9.997023175514583304e-01
1.874293916309632024e+01 9.997020165516852241e-01
1.873629064823926171e+01 9.997017153972685977e-01
1.872964760585926669e+01 9.997014140853491826e-01
1.872301052651728170e+01 9.997011126385422219e-01
1.871637884003885688e+01 9.997008110313104767e-01
1.870975283262036015e+01 9.997005092770038237e-01
1.870313248148917751e+01 9.997002073749448048e-01
1.869651745291739786e+01 9.996999053102426647e-01
1.868990790309530325e+01 9.996996030903428920e-01
1.868330408933351805e+01 9.996993007273624610e-01
1.867670570316787959e+01 9.996989982075265013e-01
1.867011277406027148e+01 9.996986955325104507e-01
1.866352567051139744e+01 9.996983927195929320e-01
1.865694379353721644e+01 9.996980897415806977e-01
1.865036741337965509e+01 9.996977866112262134e-01
1.864379674989394076e+01 9.996974833390224191e-01
1.863723154823545869e+01 9.996971799135642156e-01
1.863067168161976639e+01 9.996968763293148097e-01
1.862411743762935501e+01 9.996965725999225061e-01
1.861756848712584045e+01 9.996962687104709033e-01
1.861102504579368500e+01 9.996959646712958447e-01
1.860448711979514869e+01 9.996956604830321558e-01
1.859795468201889435e+01 9.996953561447667891e-01
1.859142731237504265e+01 9.996950516372358209e-01
1.858490595576141047e+01 9.996947470048773710e-01
1.857838954370398454e+01 9.996944421981269757e-01
1.857187875221451634e+01 9.996941372489170918e-01
1.856537322019605085e+01 9.996938321406778627e-01
1.855887327721233149e+01 9.996935268892064297e-01
1.855237878833394660e+01 9.996932214885257961e-01
1.854588944809031048e+01 9.996929159245918628e-01
1.853940599188675975e+01 9.996926102323944185e-01
1.853292723872545267e+01 9.996923043565705269e-01
1.852645408604587374e+01 9.996919983397857257e-01
1.851998663251419330e+01 9.996916921870949713e-01
1.851352397720181031e+01 9.996913858561662369e-01
1.850706708395246736e+01 9.996910793930092742e-01
1.850061534338034619e+01 9.996907727690582668e-01
1.849416892976914184e+01 9.996904659929140013e-01
1.848772813597063447e+01 9.996901590788762615e-01
1.848129232289631574e+01 9.996898519968218100e-01
1.847486193882332373e+01 9.996895447684558400e-01
1.846843687732446071e+01 9.996892373890409189e-01
1.846201684384009667e+01 9.996889298447970695e-01
1.845560228370068856e+01 9.996886221573829667e-01
1.844919325494199569e+01 9.996883143299590824e-01
1.844278916083436926e+01 9.996880063341895273e-01
1.843639056164736445e+01 9.996876981973429332e-01
1.842999699301337557e+01 9.996873898973905881e-01
1.842360884542082999e+01 9.996870814534899452e-01
1.841722591203475901e+01 9.996867728559997168e-01
1.841084809618493523e+01 9.996864641005657193e-01
1.840447571988745779e+01 9.996861552031182097e-01
1.839810826443812530e+01 9.996858461388362649e-01
1.839174637345017871e+01 9.996855369392966262e-01
1.838538975932357644e+01 9.996852275908935104e-01
1.837903807231955255e+01 9.996849180769189491e-01
1.837269155723167202e+01 9.996846084096040475e-01
1.836635051589975021e+01 9.996842986040335166e-01
1.836001438243749107e+01 9.996839886328925395e-01
1.835368352556405114e+01 9.996836785145335469e-01
1.834735778125027750e+01 9.996833682412574751e-01
1.834103730098295415e+01 9.996830578208295570e-01
1.833472212125798961e+01 9.996827472553975191e-01
1.832841181183478696e+01 9.996824365241202548e-01
1.832210686657028020e+01 9.996821256516420506e-01
1.831580677025293369e+01 9.996818146128839677e-01
1.830951192003247385e+01 9.996815034277672929e-01
1.830322232418728845e+01 9.996811920970554155e-01
1.829693797321849402e+01 9.996808806206330944e-01
1.829065846120646910e+01 9.996805689786985027e-01
1.828438399809769166e+01 9.996802571819687344e-01
1.827811483592763153e+01 9.996799452433122735e-01
1.827185064134372539e+01 9.996796331464801177e-01
1.826559179688662127e+01 9.996793209108746359e-01
1.825933772072673378e+01 9.996790085077948973e-01
1.825308887680246173e+01 9.996786959607311118e-01
1.824684513900340121e+01 9.996783832637236022e-01
1.824060628953317575e+01 9.996780704061815070e-01
1.823437246690553692e+01 9.996777573953607998e-01
1.822814382344927964e+01 9.996774442392492022e-01
1.822192032582715626e+01 9.996771309365229952e-01
1.821570157228497067e+01 9.996768174672674423e-01
1.820948808362356530e+01 9.996765038580585072e-01
1.820327948377056160e+01 9.996761900902531028e-01
1.819707585701579333e+01 9.996758761684222394e-01
1.819087736008289369e+01 9.996755621008330817e-01
1.818468393442580933e+01 9.996752478848652812e-01
1.817849538640994211e+01 9.996749335110182155e-01
1.817231169654944978e+01 9.996746189786057668e-01
1.816613323501937316e+01 9.996743043067950474e-01
1.815995957961682095e+01 9.996739894744179900e-01
1.815379108189854307e+01 9.996736744997318791e-01
1.814762748139753157e+01 9.996733593697755271e-01
1.814146849644358994e+01 9.996730440704345577e-01
1.813531499167482508e+01 9.996727286463178430e-01
1.812916610356813507e+01 9.996724130535085129e-01
1.812302212902061171e+01 9.996720973075368111e-01
1.811688305318219960e+01 9.996717814079594255e-01
1.811074911762591100e+01 9.996714653675516926e-01
1.810462001886154226e+01 9.996711491710158493e-01
1.809849579221874549e+01 9.996708328204877425e-01
1.809237637324645220e+01 9.996705163129503413e-01
1.808626201567841463e+01 9.996701996618587716e-01
1.808015261079185976e+01 9.996698828619293709e-01
1.807404789775089071e+01 9.996695658999487089e-01
1.806794815004529653e+01 9.996692487904302871e-01
1.806185340504381287e+01 9.996689315356627192e-01
1.805576343004707240e+01 9.996686141238609880e-01
1.804967803349094879e+01 9.996682965453264069e-01
1.804359793833240033e+01 9.996679788381286347e-01
1.803752240870704782e+01 9.996676609641563793e-01
1.803145176604902389e+01 9.996673429405268374e-01
1.802538600639178057e+01 9.996670247673653531e-01
1.801932517528103617e+01 9.996667064473987452e-01
1.801326895564083941e+01 9.996663879642858630e-01
1.800721786288380954e+01 9.996660693454635371e-01
1.800117107317704424e+01 9.996657505478567796e-01
1.799512964396054215e+01 9.996654316275420671e-01
1.798909281067117405e+01 9.996651125445181751e-01
1.798306055739202591e+01 9.996647932982237750e-01
1.797703324236352884e+01 9.996644739079340036e-01
1.797101066778540002e+01 9.996641543635008675e-01
1.796499318992336924e+01 9.996638346841774103e-01
1.795897998083730585e+01 9.996635148262832393e-01
1.795297185018068831e+01 9.996631948331885509e-01
1.794696841365240658e+01 9.996628746847729952e-01
1.794096973404236195e+01 9.996625543847003081e-01
1.793497570283360787e+01 9.996622339274888747e-01
1.792898661509491021e+01 9.996619133292455883e-01
1.792300219967891906e+01 9.996615925757911247e-01
1.791702221880047929e+01 9.996612716546660060e-01
1.791104741532790712e+01 9.996609506060745165e-01
1.790507685847959607e+01 9.996606293803211862e-01
1.789911130884356538e+01 9.996603080186298174e-01
1.789315058612464071e+01 9.996599865116513328e-01
1.788719428929150723e+01 9.996596648380604577e-01
1.788124271378759289e+01 9.996593430141076375e-01
1.787529578039825751e+01 9.996590210358281547e-01
1.786935374847727331e+01 9.996586989176016180e-01
1.786341624598379951e+01 9.996583766395872317e-01
1.785748341758487001e+01 9.996580542099422484e-01
1.785155533232642000e+01 9.996577316327474039e-01
1.784563169807115202e+01 9.996574088924122803e-01
1.783971297034551995e+01 9.996570860140800985e-01
1.783379860302769515e+01 9.996567629682741041e-01
1.782788932308805130e+01 9.996564397950379322e-01
1.782198413499780543e+01 9.996561164402352206e-01
1.781608402000535563e+01 9.996557929579062973e-01
1.781018831049133411e+01 9.996554693117888357e-01
1.780429724687580872e+01 9.996551455153807053e-01
1.779841081404676828e+01 9.996548215681739791e-01
1.779252903014922893e+01 9.996544974714915988e-01
1.778665173419150847e+01 9.996541732167738559e-01
1.778077912348150136e+01 9.996538488152216795e-01
1.777491080828147929e+01 9.996535242456029424e-01
1.776904734373617245e+01 9.996531995389367209e-01
1.776318852154083672e+01 9.996528746840397384e-01
1.775733417626340582e+01 9.996525496720533033e-01
1.775148426412696523e+01 9.996522245008403473e-01
1.774563894753987370e+01 9.996518991797355147e-01
1.773979843709591364e+01 9.996515737208061525e-01
1.773396218077167319e+01 9.996512480936029510e-01
1.772813056537543730e+01 9.996509223200036320e-01
1.772230365209148317e+01 9.996505964037698533e-01
1.771648102671480274e+01 9.996502703220416786e-01
1.771066310833128910e+01 9.996499440985986418e-01
1.770484952611026586e+01 9.996496177129627903e-01
1.769904050468352708e+01 9.996492911780467949e-01
1.769323625119499255e+01 9.996489645058419526e-01
1.768743623062726300e+01 9.996486376665514317e-01
1.768164057510418630e+01 9.996483106678925035e-01
1.767584979334326789e+01 9.996479835389096014e-01
