# redshift     age[Myr]
1.999999977133186135e+01 1.804078558060017485e+02
1.999224269581418767e+01 1.805078535310205723e+02
1.998449280213288404e+01 1.806078509525819413e+02
1.997674969059682226e+01 1.807078530977311459e+02
1.996901390627810358e+01 1.808078527938518789e+02
1.996128536774853757e+01 1.809078509520256262e+02
1.995356355169399620e+01 1.810078542123749514e+02
1.994584923627080997e+01 1.811078523614677636e+02
1.993814188835604995e+01 1.812078521696654718e+02
1.993044159589775433e+01 1.813078523632822794e+02
1.992274846040470848e+01 1.814078514878590624e+02
1.991506235384015611e+01 1.815078510717209497e+02
1.990738303781170870e+01 1.816078540868423659e+02
1.989971113884454823e+01 1.817078522375749401e+02
1.989204607565639193e+01 1.818078529627216824e+02
1.988438820803218476e+01 1.819078514343393635e+02
1.987673712304344775e+01 1.820078529112115575e+02
1.986909305760058331e+01 1.821078541664565762e+02
1.986145606383568563e+01 1.822078543822531458e+02
1.985382616744862005e+01 1.823078530846431704e+02
1.984620310332453386e+01 1.824078536149092713e+02
1.983858726287470020e+01 1.825078507026080956e+02
1.983097802704810064e+01 1.826078523439958587e+02
1.982337572006205306e+01 1.827078541512764502e+02
1.981578057268150417e+01 1.828078529518414825e+02
1.980819219410399157e+01 1.829078537566209661e+02
1.980061075916412960e+01 1.830078541308572539e+02
1.979303647613123118e+01 1.831078511895612451e+02
1.978546852943753720e+01 1.832078555728557490e+02
1.977790805662796458e+01 1.833078521158147396e+02
1.977035422962567068e+01 1.834078516317981382e+02
1.976280718180352025e+01 1.835078522285246549e+02
1.975526686161540368e+01 1.836078544606488947e+02
1.974773371113857579e+01 1.837078523295801347e+02
1.974020723469837080e+01 1.838078522802270243e+02
1.973268750492420764e+01 1.839078532201706651e+02
1.972517469137745749e+01 1.840078527624775973e+02
1.971766852715106211e+01 1.841078543293443204e+02
1.971016941056944560e+01 1.842078524809850251e+02
1.970267694588555329e+01 1.843078523612194033e+02
1.969519111519852927e+01 1.844078540829092105e+02
1.968771227342263686e+01 1.845078527724529636e+02
1.968024021330064244e+01 1.846078510658011851e+02
1.967277463631981149e+01 1.847078528316315840e+02
1.966531595029529100e+01 1.848078524787406991e+02
1.965786401927817550e+01 1.849078516961730259e+02
1.965041857283071991e+01 1.850078539865173752e+02
1.964298003081997379e+01 1.851078535809963057e+02
1.963554812389709525e+01 1.852078539682402152e+02
1.962812310767032642e+01 1.853078515765914744e+02
1.962070435865008378e+01 1.854078546771654317e+02
1.961329266146509198e+01 1.855078525643681076e+02
1.960588739722244611e+01 1.856078534560495541e+02
1.959848894176964862e+01 1.857078521487714511e+02
1.959109698041480740e+01 1.858078527666567936e+02
1.958371178321781514e+01 1.859078515275564882e+02
1.957633307922780119e+01 1.860078519713723040e+02
1.956896097137223478e+01 1.861078525771350485e+02
1.956159534526424792e+01 1.862078547704379332e+02
1.955423666757137724e+01 1.863078520827301077e+02
1.954688442760786415e+01 1.864078513216690283e+02
1.953953860566760170e+01 1.865078526326816188e+02
1.953219956835080140e+01 1.866078508959726889e+02
1.952486670037765037e+01 1.867078543702567401e+02
1.951754067934469816e+01 1.868078536885307983e+02
1.951022128171732106e+01 1.869078517673738418e+02
1.950290826237046460e+01 1.870078518294155856e+02
1.949560162367200888e+01 1.871078537202279506e+02
1.948830182399044730e+01 1.872078510356975016e+02
1.948100820179372050e+01 1.873078527107481079e+02
1.947372108493767939e+01 1.874078541289388227e+02
1.946644054136136504e+01 1.875078542292304462e+02
1.945916646465140687e+01 1.876078543450296650e+02
1.945189907250022188e+01 1.877078513531660917e+02
1.944463783069544149e+01 1.878078524793804149e+02
1.943738302422358544e+01 1.879078536783816560e+02
1.943013467411659789e+01 1.880078545339680147e+02
1.942289271883216628e+01 1.881078557694468145e+02
1.941565754373026920e+01 1.882078519316387144e+02
1.940842836396178939e+01 1.883078537430495771e+02
1.940120567617740122e+01 1.884078542137993395e+02
1.939398937913661669e+01 1.885078546184620905e+02
1.938677962895971163e+01 1.886078526652450194e+02
1.937957607374575630e+01 1.887078531100124792e+02
1.937237890046525379e+01 1.888078532351132139e+02
1.936518823560960811e+01 1.889078511549552672e+02
1.935800350144701554e+01 1.890078547838759846e+02
1.935082550220755948e+01 1.891078528035385773e+02
1.934365361629739510e+01 1.892078537455864478e+02
1.933648831496868326e+01 1.893078509138062202e+02
1.932932896876678441e+01 1.894078529701069158e+02
1.932217605094738744e+01 1.895078531841116387e+02
1.931502944353763596e+01 1.896078530784527061e+02
1.930788893871991974e+01 1.897078554401940380e+02
1.930075496925528000e+01 1.898078540833405157e+02
1.929362721417451354e+01 1.899078533795377268e+02
1.928650564418475355e+01 1.900078536185636722e+02
1.927939037712980763e+01 1.901078530226515966e+02
1.927228130188240485e+01 1.902078530302705133e+02
1.926517853027240079e+01 1.903078519448185943e+02
1.925808171121516210e+01 1.904078545898560719e+02
1.925099141489943833e+01 1.905078528071843493e+02
1.924390706397054629e+01 1.906078546159258735e+02
1.923682908812436310e+01 1.907078538294688315e+02
1.922975719779785209e+01 1.908078544149589675e+02
1.922269168869797440e+01 1.909078520667563339e+02
1.921563225860976232e+01 1.910078509378432159e+02
1.920857863260826548e+01 1.911078548088767093e+02
1.920153159211410809e+01 1.912078524778256394e+02
1.919449060775029636e+01 1.913078513283752500e+02
1.918745557092826459e+01 1.914078527862049555e+02
1.918042681970390007e+01 1.915078519249384499e+02
1.917340413956393874e+01 1.916078516730169952e+02
1.916638751080519398e+01 1.917078521916938598e+02
1.915937703568419437e+01 1.918078519025813193e+02
1.915237244923733329e+01 1.919078544670099404e+02
1.914537428305960987e+01 1.920078521721967491e+02
1.913838187135796076e+01 1.921078544107083701e+02
1.913139582497285573e+01 1.922078523263815839e+02
1.912441552272091982e+01 1.923078546906060922e+02
1.911744159363530571e+01 1.924078523710880688e+02
1.911047329731025357e+01 1.925078558657039594e+02
1.910351149878385968e+01 1.926078526389521528e+02
1.909655539757515541e+01 1.927078540661084389e+02
1.908960536800556795e+01 1.928078546511146953e+02
1.908266149375280207e+01 1.929078530664576476e+02
1.907572349041635462e+01 1.930078532878198985e+02
1.906879150614386020e+01 1.931078530622914968e+02
1.906186543320302818e+01 1.932078538254653495e+02
1.905494556271133533e+01 1.933078512519477385e+02
1.904803134471271875e+01 1.934078531715287568e+02
1.904112332323513002e+01 1.935078515982359590e+02
1.903422101047801362e+01 1.936078534745177535e+02
1.902732483468071933e+01 1.937078524780939972e+02
1.902043446526646164e+01 1.938078532826556000e+02
1.901354998136179830e+01 1.939078546244666370e+02
1.900667174725057151e+01 1.940078510882303533e+02
1.899979900550432532e+01 1.941078535688508566e+02
1.899293245111995176e+01 1.942078518380279775e+02
1.898607170505752606e+01 1.943078512939697191e+02
1.897921665384301804e+01 1.944078534778961966e+02
1.897236763333788545e+01 1.945078533731419839e+02
1.896552440984852339e+01 1.946078542725949205e+02
1.895868716199957404e+01 1.947078534476590050e+02
1.895185581588598112e+01 1.948078518587641668e+02
1.894503036260119089e+01 1.949078495171796703e+02
1.893821030200882660e+01 1.950078536405351883e+02
